ImageId,EncodedPixels
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,683 5 1362 8 2042 6 2722 6 3402 5 4082 5 4762 4 5443 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,170045 12 170723 16 171401 19 172080 21 172761 20 173442 20 174124 18 174806 16 175487 15 176168 14 176849 13 177530 11 178210 11 178890 10 179569 11 180249 11 180929 11 181608 11 182286 13 182965 14 183643 15 184322 16 185002 15 185681 15 186361 14 187041 13 187721 11 188401 9 189083 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,117689 4 118370 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,150389 4 151068 6 151747 5 152425 6 153102 9 153782 5
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,139529 5 140209 6 140889 7 141570 7 142250 12 142930 14 143610 12 144289 13 144969 12 145648 12 146329 8 147010 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,132763 2 133441 8 134119 10 134799 10 135480 7 136161 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,114454 11 115130 18 115808 20 116485 17 117163 16 117840 18 118520 15 119202 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,85299 10 85978 10 86656 10 87333 11 88006 17 88683 20 89361 21 90040 21 90719 21 91398 22 92078 22 92757 22 93436 23 94115 23 94792 25 95470 25 96147 25 96825 25 97504 24 98183 24 98863 23 99540 25 100217 23 100896 21 101574 21 102253 19 102932 17 103611 17 104290 17 104970 16 105649 16 106328 13 107006 13 107687 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,75132 5 75813 7 76495 6 77175 7 77856 5 78537 3 79218 1
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,51367 7 52044 11 52723 12 53403 10
