ImageId,EncodedPixels
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,515 2 1026 6 1538 5 2050 5 2562 4 3074 4 3585 5 4098 3 4610 3 5122 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,55299 1
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,170018 9 170529 11 171040 13 171551 15 172062 16 172574 16 173087 16 173600 15 174113 14 174626 13 175139 12 175652 11 176164 11 176677 10 177189 9 177702 8 178214 8 178726 8 179238 8 179749 8 180261 8 180773 8 181285 8 181796 9 182307 10 182818 11 183329 11 183841 11 184352 12 184864 11 185376 11 185887 12 186399 11 186911 10 187423 9 187935 8 188447 7 188960 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,117797 3 118309 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,150610 4 151121 5 151633 4 152144 4 152655 5 153165 6 153676 6
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,139361 3 139873 5 140385 5 140898 4 141410 5 141922 7 142435 12 142946 11 143458 9 143970 9 144481 10 144993 10 145505 9 146017 8 146529 6 147042 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,133242 5 133753 7 134264 8 134776 8 135288 6 135801 4 136314 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,114338 7 114848 11 115358 15 115869 14 116379 13 116890 12 117400 13 117911 13 118422 13 118935 7
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,85218 7 85729 9 86240 7 86751 7 87261 8 87771 10 88278 14 88789 15 89300 15 89811 16 90323 16 90834 16 91346 16 91857 17 92369 17 92881 17 93392 18 93904 17 94415 17 94925 19 95435 20 95946 19 96456 20 96968 18 97479 18 97991 18 98502 18 99014 18 99525 18 100034 18 100545 17 101056 17 101568 15 102079 14 102591 13 103102 13 103614 12 104125 13 104637 12 105148 12 105660 11 106171 11 106682 10 107193 9 107706 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,75002 4 75515 4 76027 5 76540 5 77053 5 77565 5 78077 4 78590 2 79102 1
