ImageId,EncodedPixels
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,187398 2 187910 3 188421 5 188933 5 189444 6 189956 7 190468 7 190980 7 191492 7 192003 8 192515 8 193027 8 193539 8 194051 9 194563 10 195075 10 195586 12 196098 13 196610 14 197122 15 197634 16 198147 16 198659 18 199171 19 199684 19 200197 5 200205 9 200710 2 200718 6
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,101891 1 102403 1 102915 1 103427 2 103939 3 104451 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,141830 3 142341 9 142853 21 143365 22 143876 23 144388 24 144900 24 145411 26 145924 25 146436 25 146948 25 147461 24 147973 24 148485 24 148998 23 149510 24 150023 3 150027 19 150541 18 151053 19 151559 2 151564 22 152070 4 152076 24 152582 4 152588 27 153094 34 153606 34 154118 34 154630 34 155142 34 155654 34 156166 34 156678 34 157189 36 157701 36 158213 36 158725 36 159237 36 159749 36 160261 36 160773 36 161285 37 161797 37 162309 37 162820 38 163332 38 163844 38 164356 39 164868 39 165380 40 165892 40 166403 42 166915 43 167427 44 167939 44 168451 45 168964 44 169476 44 169988 44 170501 44 171013 44 171526 43 172038 43 172552 41 173068 37 173581 36 174095 33 174612 28 175125 27 175639 25 176154 22 176667 21 177179 20 177691 20 178203 7 178211 12 178715 19 179227 19 179739 19 180251 18 180762 19 181274 19 181786 19 182298 19 182810 19 183314 3 183321 20 183826 4 183832 21 184338 27 184850 27 185362 26 185874 26 186386 26 186898 25 187411 23 187923 22 188435 22 188948 20 189461 19 189974 17 190486 14 190998 12 191510 10 192024 7
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,6682 1 7194 2 7706 2 8218 3 8730 4 9242 5
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,114721 4 115231 13 115744 12 116265 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,129590 5 130098 11 130609 13 131120 14 131631 16 132143 16 132655 15 133167 15 133680 13 134194 2 134201 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,147511 4 148022 6 148534 6 149046 6 149559 5 150071 5 150584 4 151097 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,116837 7 117348 9 117860 9 118372 10 118883 11 119395 11 119884 6 119907 11 119934 2 120395 9 120418 12 120446 2 120906 12 120930 12 120957 3 121419 12 121441 13 121469 3 121931 14 121952 14 121981 3 122444 14 122461 18 122493 3 122956 14 122972 20 123004 4 123468 36 123515 5 123981 36 124027 5 124493 37 124538 6 125005 38 125050 6 125518 38 125562 6 126030 39 126073 7 126542 39 126585 7 127055 38 127097 8 127568 38 127609 10 128081 37 128120 12 128594 36 128632 14 129107 52 129619 52 130131 52 130643 52 131155 51 131667 51 132179 51 132692 49 133204 49 133717 29 133748 16 134229 28 134260 16 134741 27 134772 15 135253 27 135285 13 135765 27 135797 12 136276 28 136309 11 136788 29 136822 9 137300 29 137335 7 137812 40 138325 38 138838 36 139351 1 139356 29 139870 27 140382 27 140895 25 141407 24 141919 23 142431 22 142943 21 143455 20 143965 19 144476 18 144987 18 145498 18 146009 18 146519 17 147029 17 147540 16 148051 16 148560 16 149069 17 149579 18 150090 18 150601 18 151111 19 151621 20 152132 20 152643 20 153154 20 153666 19 154180 16 154694 10
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,55027 6 55538 9 56049 13 56561 13 57073 13 57585 13 58096 14 58608 14 59120 15 59632 15 60144 16 60656 16 61168 17 61680 18 62192 19 62704 26 63217 27 63729 28 64241 29 64753 30 65265 30 65778 29 66290 30 66803 29 67316 28 67836 19 68349 18 68861 18 69374 17 69886 16 70397 16 70909 15 71421 14 71932 12 72443 12 72955 13 73426 4 73438 1 73466 14 73937 14 73977 15 74447 17 74489 15 74958 19 75001 15 75469 21 75513 14 75981 22 76025 14 76492 24 76537 13 77004 24 77049 13 77516 25 77561 12 78027 27 78073 12 78539 28 78584 12 79050 30 79096 12 79562 31 79607 12 80073 34 80119 12 80585 35 80630 12 81096 37 81142 11 81598 48 81653 11 82109 52 82164 11 82620 65 83131 55 83190 6 83642 54 84154 53 84665 53 85177 52 85689 52 86200 51 86712 50 87219 1 87223 50 87730 55 88241 55 88752 55 89262 57 89773 57 90285 56 90796 57 91307 58 91819 57 92330 58 92841 58 93352 58 93858 4 93863 59 94370 63 94881 63 95392 63 95903 64 96410 68 96918 71 97427 73 97938 74 98449 74 98961 73 99439 4 99472 73 99950 6 99983 73 100462 6 100495 70 100974 7 101006 69 101485 9 101517 69 101997 9 102029 68 102509 10 102541 67 103021 10 103052 66 103533 11 103563 65 104045 11 104074 65 104557 12 104585 65 105069 12 105095 66 105582 11 105606 66 106094 11 106117 66 106606 11 106629 36 106669 25 107119 11 107140 36 107182 23 107632 11 107651 37 107695 21 108145 11 108163 37 108208 19 108658 11 108675 37 108721 15 109171 15 109187 38 109234 12 109684 53 109746 10 110198 52 110259 7 110711 53 111224 54 111737 55 112250 55 112763 54 113275 53 113787 53 114299 53 114811 52 115323 52 115837 49 116350 46 116863 42 117380 34 117893 31 118406 28 118918 25 119431 20 119944 17 120457 15 120969 14 121483 10 121997 5
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,17698 2 18208 5 18717 10 19227 13 19738 16 20249 18 20761 19 21273 19 21785 19 22296 20 22808 21 23320 21 23833 20 24346 19 24858 19 25371 18 25883 18 26394 19 26905 21 27416 22 27921 30 28433 30 28944 32 29455 33 29966 35 30478 36 30989 38 31501 38 32013 38 32524 39 33035 40 33545 42 34050 49 34561 49 35072 50 35583 51 36094 51 36606 51 37118 51 37630 50 38142 50 38654 49 39166 49 39679 47 40192 45 40704 44 41216 43 41729 41 42241 41 42752 41 43264 41 43776 40 44287 40 44799 40 45310 40 45821 40 46332 40 46842 41 47353 41 47864 42 48376 41 48888 40 49400 40 49912 39 50424 39 50936 39 51449 37 51963 35 52476 34 52989 33 53502 32 54014 3 54024 21 54526 2 54538 19 55038 1 55053 15 55567 12 56085 4
