ImageId,EncodedPixels
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,193537 2 194049 2 194561 3 195073 7 195585 7 196097 8 196609 8 197121 8 197633 7 198145 7 198657 3 199169 2 199681 1
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,231425 1 231937 1 232449 1 232961 1 233473 1 233985 1 234497 1
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,167979 1 168490 3 169001 5 169513 6 170024 7 170535 9 171046 10 171557 11 172069 11 172580 12 173092 12 173604 12 174116 12 174628 12 175140 12 175652 12 176163 13 176675 13 177187 14 177699 13 178210 14 178722 14 179234 14 179745 15 180257 14 180769 14 181281 14 181794 13 182306 12 182819 11 183331 11 183843 11 184355 10 184868 9 185380 9 185892 8 186405 6 186918 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,128155 5 128667 6 129178 8 129689 10 130201 10 130713 10 131225 10 131737 10 132249 10 132762 8 133276 5 133790 1
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,88792 5 89298 12 89807 15 90317 17 90828 19 91338 21 91849 22 92360 23 92871 24 93382 24 93893 24 94405 23 94916 23 95427 23 95939 23 96450 23 96961 24 97473 23 97984 23 98495 24 99006 24 99517 23 100028 23 100540 22 101051 22 101563 20 102075 18 102586 17 103098 16 103609 16 104121 15 104633 14 105146 12 105658 11 106174 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,25892 4 26402 7 26913 8 27425 9 27936 10 28448 10 28960 10 29471 12 29983 12 30495 12 31007 12 31520 11 32032 11 32544 11 33056 10 33568 10 34080 9 34591 10 35101 12 35611 14 36122 15 36634 15 37146 15 37657 16 38169 15 38681 14 39192 15 39704 15 40215 15 40727 15 41238 15 41750 15 42261 15 42771 17 43283 16 43794 17 44305 17 44816 17 45327 18 45838 18 46350 17 46862 16 47374 16 47886 15 48398 15 48910 13 49422 5 49936 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,326482 4 326990 11 327501 15 328011 23 328521 28 329033 28 329543 32 330055 33 330566 35 331077 38 331588 40 332099 42 332611 43 333122 44 333633 45 334145 46 334656 47 335167 49 335679 51 336189 55 336701 56 337212 58 337723 60 338234 61 338746 62 339257 64 339768 64 340280 64 340791 64 341303 65 341814 66 342326 67 342837 68 343349 68 343861 67 344373 67 344885 66 345397 66 345909 65 346421 65 346933 65 347445 65 347957 65
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,306519 5 307031 5 307544 4 308057 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,14177 2 14688 4 15200 5 15711 7 16224 7 16736 7 17249 6 17761 6 18274 6 18787 4
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,259443 2 259953 4 260464 5 260975 7 261486 8 261997 9 262509 9 263020 10 263532 11 264043 12 264555 12 265067 12 265579 13 266090 14 266602 14 267113 16 267625 16 268136 17 268647 17 269159 17 269671 17 270182 18 270694 18 271205 19 271717 19 272229 19 272741 18 273253 18 273765 18 274276 19 274788 19 275300 18 275812 18 276324 16 276836 14 277348 12 277860 10 278373 8 278885 8 279397 8 279909 7 280421 6 280933 6 281445 5 281958 4 282470 3
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,136697 2 137208 3 137719 4 138230 5 138741 7 138751 2 139252 8 139261 4 139763 14 140274 15 140785 16 141297 16 141808 17 142319 18 142831 18 143342 19 143853 20 144365 20 144876 21 145387 22 145898 23 146409 24 146920 25 147430 27 147941 28 148452 29 148963 30 149473 32 149984 33 150494 35 151005 36 151516 37 152027 38 152538 39 153049 40 153560 41 154071 42 154583 42 155094 43 155604 45 156115 46 156626 47 157137 48 157648 49 158159 50 158671 50 159182 51 159693 52 160205 52 160716 53 161227 54 161738 55 162249 56 162759 58 163270 59 163780 61 164290 63 164801 64 165312 65 165823 66 166334 67 166845 68 167356 69 167867 70 168378 71 168889 72 169400 73 169911 74 170423 74 170934 75 171445 76 171956 77 172468 77 172979 78 173490 79 174001 80 174513 80 175024 81 175535 82 176047 82 176558 83 177069 84 177579 86 178090 87 178601 88 179112 89 179623 90 180134 91 180646 91 181157 92 181669 92 182181 92 182693 30 182725 60 183205 26 183237 60 183716 25 183750 59 184228 23 184262 59 184740 21 184775 58 185252 19 185287 58 185764 17 185800 57 186276 16 186314 55 186787 13 186829 52 187299 11 187342 51 187812 9 187854 51 188325 8 188367 50 188839 5 188879 50 189352 4 189392 49 189904 49 190417 48 190930 47 191443 46 191956 45 192468 45 192981 44 193493 44 194005 44 194518 43 195030 43 195543 42 196057 40 196572 37 197086 35 197599 34 198112 33 198624 33 199137 28 199649 27 200162 24 200675 16 201189 12 201703 7
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,338400 3 338904 12 339413 16 339923 19 340432 24 340942 27 341453 28 341963 31 342475 31 342986 32 343498 32 344009 33 344521 33 345033 32 345544 33 346056 33 346568 33 347079 32 347591 26 348103 26
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,322531 2 322547 2 323033 5 323041 5 323058 9 323544 15 323570 9 324053 18 324082 11 324562 20 324594 12 325073 21 325107 11 325583 23 325619 12 326092 25 326131 12 326603 26 326643 12 327114 27 327155 11 327625 28 327667 11 328137 28 328170 4 328179 11 328649 22 328674 4 328681 6 328691 11 329161 22 329187 12 329204 9 329673 21 329700 11 329717 7 330186 20 330212 11 330230 6 330698 19 330724 11 330741 6 331210 14 331227 1 331235 12 331253 6 331723 11 331747 13 331763 8 332235 10 332259 24 332747 10 332771 24 333260 8 333282 26 333794 26 334305 27 334817 27 335329 26 335842 7 335857 10 336355 3 336371 8 336884 7 337399 2
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,278475 1
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,27686 4 27943 3 28200 1 28456 1 28712 1
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,24879 3 25133 6 25389 7 25644 9 25900 11 26157 12 26413 12 26669 12 26926 11 27182 11 27439 10 27695 9 27951 8 28208 5
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,16452 1 16707 7 16957 13 17210 17 17460 1 17463 22 17716 25 17973 26 18229 26 18485 27 18741 28 18998 26 19255 22 19514 19 19771 17 20027 15 20287 10 20544 7 20803 1
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,37460 2 37715 4 37969 5 38223 8 38478 10 38733 12 38988 14 39244 15 39499 17 39754 18 40010 18 40266 17 40522 17 40779 14 41038 9
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,14452 11 14706 14 14961 15 15216 17 15471 18 15727 18 15984 16 16240 16 16497 14 16755 10
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,37264 2 37518 7 37772 10 38026 13 38282 13 38537 14 38793 13 39049 11 39305 10 39561 9 39572 1 39817 9 39827 3 40074 5 40082 4 40331 2 40338 4 40594 3
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a,12288 1 12543 2 12797 4 13051 6 13307 6 13563 6 13819 6 14075 6 14332 5 14589 4 14847 2
